listing_type,title,price,bedrooms,bathrooms,floor_size_m2,address,suburb,area,listing_url,agent_name,agent_contact,description,listed_date,image_url,estimated_monthly_rent,estimated_annual_rent,estimated_gross_yield,yield_above_threshold,distressed_flags,real_monthly_rent,real_annual_rent,rent_source,monthly_rates,monthly_insurance,monthly_maintenance,monthly_management,monthly_levy,noi,cap_rate,real_gross_yield,grm,rent_to_price_pct,oer,transfer_duty,refurb_estimate,all_in_cost,bond_amount,monthly_bond,monthly_cash_flow,annual_cash_flow,cash_on_cash_pre_refi,dscr,ber,income_implied_value,value_gap_pct,price_per_m2,suburb_median_price_per_m2,price_per_m2_vs_median,revalued_price,new_bond,equity_extracted,cash_left_in_deal,post_refi_monthly_cash_flow,equity_multiple_5yr,value_yr3,value_yr5,value_yr10,capital_gain_yr5,bond_balance_yr5,equity_yr5,equity_growth_yr5,total_cf_5yr,total_return_yr5,roe_yr5,annualised_return_yr5,yield_on_cost,rental_supply_count,sale_supply_count,rental_to_sale_ratio,rent_spread,price_dispersion,catalyst_score,suburb_quality_score,safety_score,capital_appreciation_score,distressed_bonus,cap_rate_score,coc_score,dscr_score,value_gap_score,affordability_score,brrrr_efficiency_score,rental_supply_score,composite_score,rank
sale,3 Bedroom House,2650000,3,1,729 m²,9 Waveren Street,Tulbagh,Tulbagh,https://www.property24.com/for-sale/tulbagh/tulbagh/western-cape/7608/116886973,,,"This well-maintained family home for sale in Tulbagh is located in a quiet, established ...",,https://images.prop24.com/241272188/Ensure264x153,6000,72000,2.72,False,,6000.0,72000.0,csv_estimate,300,1656.0,3312.0,0.0,1200,-11385.0,-0.0043,2.72,36.81,0.23,1.0781,79200.0,50000,680700.0,2120000.0,21882.0,-22831.0,-273974.0,-0.4025,-0.04,4.7252,-103500.0,-103.91,3635.0,4597.0,-20.93,3180000.0,2544000.0,424000.0,256700.0,-27208.0,-1.79,3156192.0,3546298.0,4745746.0,718983.0,1925255.0,1621042.0,1091042.0,-1380832.0,-661849.0,-0.9723,-0.5119,-0.0167,0,16,0.0,,0.6239,0.0,50.0,50.0,35.0,0,-2.9,0.0,0.0,0.0,73.5,62.3,100,29.6,598
sale,3 Bedroom House,3023290,3,2,585 m²,Rawsonville,Rawsonville,Worcester,https://www.property24.com/for-sale/rawsonville/worcester/western-cape/7616/116226540,,,"Your dream 3-bedroom home with double garage on a generous 585m2 plot – now available on a Plot & Plan basis!

Discover the best of ...",,https://images.prop24.com/103291119/Ensure264x153,7000,84000,2.78,False,,8300.0,99600.0,rental_area_q1,400,1890.0,3779.0,0.0,1200,4408.0,0.0015,3.29,30.35,0.27,0.8757,109918.0,50000,786076.0,2418632.0,24965.0,-24598.0,-295170.0,-0.3755,0.01,3.8836,44080.0,-98.54,5168.0,7365.0,-29.83,3627948.0,2902358.0,483726.0,302349.0,-29590.0,-1.64,3600787.0,4045844.0,5414252.0,820262.0,2196455.0,1849389.0,1244731.0,-1478174.0,-657912.0,-0.837,-0.3042,0.0056,0,13,0.08,,0.6076,0.0,50.0,50.0,35.0,0,1.0,0.0,0.0,0.0,69.8,61.5,100,29.6,599
sale,2 Bedroom House,3200000,2,2,400 m²,"1978 Kloof Street, 10 Shiraz Estate",Riebeek Kasteel,Riebeek Valley,https://www.property24.com/for-sale/riebeek-kasteel/riebeek-valley/western-cape/7911/116686141,,,"SOLE & EXCLUSIVE:  Discover the perfect blend of comfort, style, and tranquility in ...",,https://images.prop24.com/185178535/Ensure264x153,7000,84000,2.62,False,,18500.0,222000.0,rental_suburb,350,2000.0,4000.0,0.0,1200,113640.0,0.0355,6.94,14.41,0.58,0.4081,129356.0,50000,840856.0,2560000.0,26424.0,-16954.0,-203448.0,-0.242,0.36,1.8364,1262667.0,-60.54,8000.0,4781.0,67.31,3840000.0,3072000.0,512000.0,328856.0,-22239.0,-0.86,3811251.0,4282322.0,5730713.0,868206.0,2324837.0,1957485.0,1317485.0,-956280.0,-88074.0,-0.1047,-0.0219,0.1351,2,27,0.3,0.0,0.3315,0.0,50.0,50.0,35.0,0,23.7,0.0,0.0,0.0,68.0,60.9,80,29.6,600
sale,1 Bedroom Townhouse,2395000,1,2,159 m²,Darling,Darling,Darling,https://www.property24.com/for-sale/darling/darling/western-cape/7920/116974486,,,"Phase One Now Selling - Limited Opportunity

Introducing Oude Post Village at Darling Green Country Estate in the charming town of ...",,https://images.prop24.com/367510794/Ensure264x153,4500,54000,2.25,False,,4500.0,54000.0,csv_estimate,300,1497.0,2994.0,0.0,1200,-22208.0,-0.0093,2.25,44.35,0.19,1.3313,58800.0,50000,609300.0,1916000.0,19777.0,-21627.0,-259528.0,-0.4259,-0.09,5.7261,-222075.0,-109.27,15063.0,7488.0,101.16,2874000.0,2299200.0,383200.0,226100.0,-25583.0,-1.92,2852483.0,3205050.0,4289080.0,649798.0,1739995.0,1465055.0,986055.0,-1314572.0,-664774.0,-1.091,0.0,-0.0364,0,10,0.0,,0.4698,0.0,50.0,50.0,35.0,0,-6.2,0.0,0.0,0.0,76.0,62.9,100,29.6,601
sale,3 Bedroom House,3750000,3,2,183 m²,Buitenverwagting,Buitenverwagting,Paarl,https://www.property24.com/for-sale/buitenverwagting/paarl/western-cape/16388/116811620,,,"- Eksklusiewe Alleenmandaat -

Kom maak jouself tuis in hierdie rustige, boomryke straat naby die prag Paarlrots.

Hierdie ...",,https://images.prop24.com/252580558/Ensure264x153,9500,114000,3.04,False,,19000.0,228000.0,rental_suburb,1702.0,2344.0,4688.0,0.0,1200,90566.0,0.0242,6.08,16.45,0.51,0.5228,189856.0,50000,1011356.0,3000000.0,30966.0,-23418.0,-281022.0,-0.2779,0.24,2.1526,1006292.0,-73.17,20492.0,20492.0,0.0,4500000.0,3600000.0,600000.0,411356.0,-29612.0,-1.08,4466310.0,5018346.0,6715679.0,1017429.0,2724418.0,2293928.0,1543928.0,-1359155.0,-341727.0,-0.3379,-0.0792,0.0895,1,2,1.0,0.0,0.0,0.0,50.0,51.0,35.2,0,16.1,0.0,0.0,0.0,62.5,59.3,90,29.5,602
sale,3 Bedroom House,2995000,3,2,200 m²,63 Mountain Crest,Mountain Crest Private Estate,Paarl,https://www.property24.com/for-sale/mountain-crest-private-estate/paarl/western-cape/25479/116865985,,,"Discover cozy, efficient family living in the sought-after Mountain Crest Private ...",,https://images.prop24.com/252834057/Ensure264x153,9500,114000,3.81,False,,7000.0,84000.0,rental_area_q1,1324.0,1872.0,3744.0,0.0,1200,-20392.0,-0.0068,2.8,35.65,0.23,1.1628,106806.0,50000,777306.0,2396000.0,24731.0,-26431.0,-317167.0,-0.408,-0.07,4.6958,-226578.0,-107.57,14975.0,14062.0,6.49,3594000.0,2875200.0,479200.0,298106.0,-31377.0,-1.83,3567093.0,4007986.0,5363589.0,812586.0,2175902.0,1832084.0,1233084.0,-1603154.0,-790567.0,-1.0171,0.0,-0.0262,0,5,0.0,,0.2095,0.0,50.0,51.0,35.2,0,-4.5,0.0,0.0,0.0,70.0,61.6,100,29.5,603
sale,3 Bedroom House,3750000,3,2,183 m²,Buitenverwagting,Buitenverwagting,Paarl,https://www.property24.com/for-sale/buitenverwagting/paarl/western-cape/16388/116947000,,,"- Eksklusiewe Alleenmandaat -

Kom maak jouself tuis in hierdie rustige, boomryke straat naby die prag Paarlrots.

Hierdie ...",,https://images.prop24.com/371931836/Crop600x400,9500,114000,3.04,False,,19000.0,228000.0,rental_suburb,1702.0,2344.0,4688.0,0.0,1200,90566.0,0.0242,6.08,16.45,0.51,0.5228,189856.0,50000,1011356.0,3000000.0,30966.0,-23418.0,-281022.0,-0.2779,0.24,2.1526,1006292.0,-73.17,20492.0,20492.0,0.0,4500000.0,3600000.0,600000.0,411356.0,-29612.0,-1.08,4466310.0,5018346.0,6715679.0,1017429.0,2724418.0,2293928.0,1543928.0,-1359155.0,-341727.0,-0.3379,-0.0792,0.0895,1,2,1.0,0.0,0.0,0.0,50.0,51.0,35.2,0,16.1,0.0,0.0,0.0,62.5,59.3,90,29.5,604
sale,3 Bedroom House,2995000,3,3,200 m²,Mountain Crest Private Estate,Mountain Crest Private Estate,Paarl,https://www.property24.com/for-sale/mountain-crest-private-estate/paarl/western-cape/25479/116482280,,,"This modern 3-bedroom, 2.5-bathroom home is ideally positioned within the highly sought-after Mountain Crest Private Estate, offering ...",,https://images.prop24.com/72874115/Ensure264x153,9500,114000,3.81,False,,7000.0,84000.0,rental_area_q1,1324.0,1872.0,3744.0,0.0,1200,-20392.0,-0.0068,2.8,35.65,0.23,1.1628,106806.0,50000,777306.0,2396000.0,24731.0,-26431.0,-317167.0,-0.408,-0.07,4.6958,-226578.0,-107.57,14975.0,14062.0,6.49,3594000.0,2875200.0,479200.0,298106.0,-31377.0,-1.83,3567093.0,4007986.0,5363589.0,812586.0,2175902.0,1832084.0,1233084.0,-1603154.0,-790567.0,-1.0171,0.0,-0.0262,0,5,0.0,,0.2095,0.0,50.0,51.0,35.2,0,-4.5,0.0,0.0,0.0,70.0,61.6,100,29.5,605
sale,1 Bedroom Apartment,2650000,1,1,26 m²,Stellenbosch Central,Stellenbosch Central,Stellenbosch,https://www.property24.com/for-sale/stellenbosch-central/stellenbosch/western-cape/8566/117054214,,,"Perfectly positioned in the vibrant heart of Stellenbosch, this beautifully designed  GROUND FLOOR apartment offers an exceptional ...",,https://images.prop24.com/242461081/Ensure264x153,8500,102000,3.85,False,,11250.0,135000.0,rental_suburb,600,1656.0,3312.0,0.0,1200,42975.0,0.0162,5.09,19.63,0.42,0.6017,79200.0,50000,680700.0,2120000.0,21882.0,-18301.0,-219614.0,-0.3226,0.16,2.5468,537188.0,-79.73,101923.0,55882.0,82.39,3180000.0,2544000.0,424000.0,256700.0,-22678.0,-1.32,3156192.0,3546298.0,4745746.0,718983.0,1925255.0,1621042.0,1091042.0,-1077645.0,-358662.0,-0.5269,-0.139,0.0631,28,87,0.54,1.2,0.4083,16.1,50.0,50.0,39.8,0,10.8,0.0,0.0,0.0,73.5,62.3,0,29.5,606
sale,2 Bedroom House,3750000,2,2,118 m²,95 Voliere Estate Street,Voliere Estate,Stellenbosch,https://www.property24.com/for-sale/voliere-estate/stellenbosch/western-cape/33652/116545372,,,"This modern 2-bedroom, 2-bathroom freehold home offers effortless living in a secure and ...",,https://images.prop24.com/233852929/Ensure264x153,12000,144000,3.84,False,,14000.0,168000.0,rental_area_q1,600,2344.0,4688.0,0.0,1200,48585.0,0.013,4.48,22.32,0.37,0.6308,189856.0,50000,1011356.0,3000000.0,30966.0,-26917.0,-323003.0,-0.3194,0.13,2.8426,607312.0,-83.8,31780.0,27602.0,15.14,4500000.0,3600000.0,600000.0,411356.0,-33110.0,-1.33,4466310.0,5018346.0,6715679.0,1017429.0,2724418.0,2293928.0,1543928.0,-1592717.0,-575288.0,-0.5688,-0.1549,0.048,0,21,0.0,,0.2742,0.0,50.0,50.0,35.0,0,8.6,0.0,0.0,0.0,62.5,59.3,100,29.5,607
